ID,Proyek,Skill,Budget,Durasi ( hari),Deskripsi,,,,,,,,,,,,,,,,,,,,
60,Membuat landing page,Web Programming,"Rp 800,000 - 1,200,000",14,Saya membutuhkan landing page sederhana yang interaktif dan responsif ke pengunjung. Informasi akan diberikan ketika bid,,,,,,,,,,,,,,,,,,,,
61,Mengerjakan Laporan BAB IV Skripsi,Content Writer,"Rp 350,000 - 500,000",7,"Saya memrlukan bantuan untuk membuat laporan skripsi sistem informasi bab iv, metode yang saya gunakan itu scm. bagi yang bisa mengerjakan ini mohon info . untuk programnya sudah saya buat tinggal hanya membuat laporan hasil dan pembahasan nya saja. semua bahan yang dibutuhkan sudah ada",,,,,,,,,,,,,,,,,,,,
62,Butuh bantuan dalam menggunakan myob / accurate / zahir,Accounting ,"Rp 500,000 - 1,000,000",30,"Selamat pagiSaya butuh bantuan dalam menggunakan accurate / myob / zahirAdapun sebelumnya saya sudah terbiasa mengerjakan di excel, namun perusahaan (pabrik rumah tangga) mau saya untuk menggunakan accurate  / myob / zahirSaya ada list COA, dan dokumen 1 bulan transaksi (hanya 20 dokumen saja) periode sebelumnya yang bisa digunakan untuk mempelajari accurate / myob / zahirbagaimana di accurate /myob / zahir menggunakan COA yang sama dengan COA yang ada di excel bagaimana entri dokumen (dan debet credit) di accurate / myob / zahir menggunakan dokumen (dan debet credit) yang sama dengan dokumen (dan debet credit) yang ada di excel bagaimana menghitung costing (saldo akhir raw material, raw material consumption, saldo akhir finished goods, finished goods difference, sales) di accurate / myob / zahir yang sama dengan menghitung costing yang ada di excel bagaimana menyusun laporan keuangan (rugi laba, neraca) di accurate / myob / zahir yang sama dengan menyusun laporan keuangan (rugi laba, neraca) di excelbagaimana membuat tutup buku (closing) di accurate / myob / zahir yang sama dengan membuat tutup buku (closing) di excelProjek selesai begitu sudah tau dengan jelas setiap poin tersebut.",,,,,,,,,,,,,,,,,,,,
63,Membuat Sistem penjualan sederhana Pada Website,Android,"Rp 1,000,000 - 1,500,000",7,"Dibutuhkan orang yang bisa membuat website penjualan sederhana menggunakan PHP, dan java. Deadline 1 minggu",,,,,,,,,,,,,,,,,,,,
64,Kostumisasi dan Tambah Fitur GYM Management System,Web Programming,"Rp 2,500,000 - 3,500,000",7,"Saya ingin melakukan kustomisasi dan penambahan fitur untuk script berikut:https://codecanyon.net/item/casual-fitness-gym-management-and-administration-system/25347196*Script di atas akan disediakan. Secara garis besar, beberapa fitur yang  ingin ditambahkan: Manajemen kelas, Manajemen kantin, Pengaturan level user: client, staff dan admin, Sistem absensi berbasis scan QR code, Integrasi payment gateway midtrans. Detail akan diterangkan dan dipandu sejelas mungkin jika sudah deal. Semua fitur baru akan dibuat sesederhana dan semudah mungkin.Silakan bid hanya jika Anda merasa dapat mengerjakannya dan selesai dalam waktu yang disepakati. Tinggalkan no wa di bid Anda supaya mudah untuk berkomunikasi.",,,,,,,,,,,,,,,,,,,,
65,Bikin Video Rells Instagram dan tiktok,Social Media,"Rp 50,000 - 50,000",1,"Dibutuhkan video editor / content creator untuk bikin video reels instagram dan tiktok, durasi pendek 10-15 detik saja, konsep travel dan menarik , video footage dari saya. hanya 1 video. Jika cocok, akan rutin bulanan syarat : komunikatif dan bs wa revisi bebassoruce video mesti diberikan",,,,,,,,,,,,,,,,,,,,
66,(BUTUH CEPAT) Jasa Sebar Kuesioner Online Khusus Daerah Jakarta & Jawa Barat!,Internet Marketing,"Rp 300,000 - 500,000",3,Saya membutuhkan jasa untuk menyebarkan kuesioner online mengenai Media Informasi Pendidikan Anti Korupsi. Target responden: anak-anak SD kelas 4-6 namun dapat dibantu isi oleh orang tua anak-anak SD kelas 4-6. Domisili: wilayah Jakarta & Jawa Barat.Dengan Jumlah target reponden sebanyak 100 Real RespondenKuesioner yang disebarkan berupa link Google Form sehingga dapat disebarkan secara online.Budget: Rp300.000  (jika bisa selesai lebih cepat akan saya berikan tambahan insentif),,,,,,,,,,,,,,,,,,,,
67,laravel task,Web Programming,"Rp 200,000 - 600,000",7,"laravel versi 9.0butuh bantuan solve beberapa task berikut: 1. duplicate button -> menu pembeli, untuk menduplicate data pembeli (urlpreview_undangan + 3uniqnumber) 2. Pricelist : Create, Read, Delete Pricelist (di current CMS admin) 3. Image Wedding Gift tidak perlu uploadpengerjaan via remote anydesk, akan dijelaskan terlebih dahulu sebelum pengerjaan. diutamakan yang memiliki portfolio live Laravel 9 + paham konsep spatie permission.",,,,,,,,,,,,,,,,,,,,
68,Cari Canva Contributor / Creator Element,Graphic Design,"Rp 1,000,000 - 3,000,000",5,Yang punya akun canva creator element tidak dipakai atau tidak terawat atau mau dijual biar saya beli buat saya rawat Bisa sertakan screenshot menu creator nya di chat ya kak,,,,,,,,,,,,,,,,,,,,
69,"PROJECT Ke-57: Mohon berikan saya ide jualan sebagai distributor gula skala kecil, menengah atau besar.",Social Media Marketing (SMM),"Rp 500,000 - 850,000",14,"PROJECT Ke-57: Mohon berikan saya ide jualan sebagai distributor gula skala kecil, menengah atau besar. Latar belakang saya adalah anak dari seorang distributor juragan gula yang dulu cukup besar. Kami biasa mengambil produk tersebut langsung dari pabrik. Tetapi sekarang kami sangat kalah bersaing dengan distributor - distributor besar yang baru muncul. Dan bahkan kami sudah tidak punya gudang dan toko lagi. Saya ingin mengulang kembali kejayaan bisnis keluarga ini. Mohon beri saya step by step ide jualan untuk mengembangkan usaha ini kembali dengan tempat dan dana minim yang saya miliki. Saya sudah ada rumah yang ukurannya terbatas sebagai tempat stok barang, HP dan laptop untuk mendukung penjualan. Jika ada peluang bisnis lain yang menurut anda lebih baik, bisa di infokan barang /product apa yang akan dijual,  dari mana ambil produknya, estimasi modal, dan juga estimasi berapa keuntungan, setelah project di acc. Terimakasih. Salam hormat",,,,,,,,,,,,,,,,,,,,
70,Dibutuhkan Tutor Oracle,Oracle,"Rp 150,000 - 150,000",1,"Mengajari soal seperti terlampiruntuk 1x sesi @ 1,5 jam silahkan bid, terima kasihtinggalkan no wa anda",,,,,,,,,,,,,,,,,,,,
71,Script Video Tiktok Bertema Agrobisnis,Content Writer,"Rp 400,000 - 400,000",7,"Saya mencari freelance,dengan tugas untuk membuat script konten video bertema agrobisnis. Dengan kriteria script: Script storytelling (bercerita). Durasi script 60 detik. Script terdiri dari (Headline, isi, CTA). Silakan lampiran portfolio yang dimiliki tertaik script storytelling. Jika tidak memiliki, silakan buatkan contohnya terlebih dahulu. Untuk awal saya akan mencoba 25 script seharga Rp 300.000",,,,,,,,,,,,,,,,,,,,
72,Asisten Sosial Media Spesialist,Social Media Marketing (SMM),"Rp 1,000,000 - 1,500,000",7,"Saya membutuhkan virutal asisten sosial media spesialist,Jika memungkinkan berdomisili di Surabaya dan sekitarnya. Agar kordinasinya lebih fleksibel dan menyenangkan.Niche sosial medianya yaitu agrobisnis (Pertanian, peternakan, perikanan).Dengan jobdesk:Menghubungi narasumber untuk kolaborasiMencari refrensi kontenPengumpulan data terkait sosial mediaHarga tertera yaitu harga untuk satu bulan, sertakan portfolio dan pengalamannya ya. Domisili selain Surabaya gimana?, gpp silahkan dikirim aja portfolionya.Kali saja saya terpincut, dan sesi kordinasi bisa kita lakukan virtual nantinya.",,,,,,,,,,,,,,,,,,,,
73,Dibeli Akun Google Adsense untuk Website,Web Programming,"Rp 1,000,000 - 6,000,000",90,"Dicari untuk dibeli, Akun Google Adsense untuk website, sudah PIN, PIN + PO, atau fresh Tulis Spek: Adsense untuk blog/website , Email utama, Iklan tayang 100% , Infokan sudah PO/PIN atau fresh, apakah ada domain yg terhubung Mohon kirimkan screenshot adsense yg berhubungan dengan spek di atas. Terimakasih",,,,,,,,,,,,,,,,,,,,
74,Scraping google marketing,Internet Marketing,"Rp 300,000 - 800,000",7,"Helo kak, saya ingin dibuatkan sebuah tools scrapping. berbasis web, mirip aplikasi Favor delta. namun dalam bentuk website htmljika anda bisa, mhn tinggalkan nomer wa, dan di utamakan ada contoh yg sdh pernah dikerjakan.Terima kasih.",,,,,,,,,,,,,,,,,,,,
75,Tambah fitur Aplikasi Mobile React Native - (Quantity Add to Cart),Android,"Rp 500,000 - 900,000",14,"Kami Membutuhkan Jasa untuk penambahan fitur ""Edit Quantity Product pada saat Add To Cart"".Aplikasi saat ini sudah berjalan normal hanya perlu penambahan fitur seperti yang disebutkan diatas. Kondisi saat ini setiap mau menambahkan jumlah barang yang dibeli harus klik tanda plus(+) tidak bisa diketik langsung. Untuk lebih jelas bisa dilihat pada screenshot terlampir.Sourcecode aplikasi sudah tersedia menggunakan React Native. Scope of project adalah sbb : Tambahkan fitur Edit Quantity Product pada saat Add To Cart. pada sourcecode yang kami sediakan.Test fitur yang baru tsb dalam bentuk aplikasi atau simulator Mobile dan berjalan lancar sesuai dengan request kami.Build APK & IoS,dan Aplikasi harus di upload ke Akun Playstore & Appstore milik kami.Project kami nyatakan selesai apabila tidak ada error dan issue di Playstore & Appstore pada saat kami uji untuk install di HP android & iphone dan aplikasi bisa berjalan normal.Diutamakan yang berdomisili di Jabodetabek, dan memiliki skill Php Laravel menjadi nilai tambah karena backend aplikasi menggunakan Laravel.Tidak menutup kemungkinan akan ada project lanjutan jika kami puas dengan pekerjaan nya karena aplikasi ini masih akan kami kembangkan kedepannya. Demikian disampaikan silahkan bid bagi yang berminat yaa.",,,,,,,,,,,,,,,,,,,,
76,Operator Live Streaming,Video Editing ,"Rp 750,000 - 1,000,000",2,Butuh Operator Live Streaming untuk tanggal 19 Juni.Required: Mengerti Whole Live Streaming World. (Dari kamera sampai cara menggunakan aplikasi live streaming)Webinar output microsoft TeamsHanya membutuhkan 1 orang operator untuk mengoperasikan aplikasi dan lead a teamAplikasi live Streaming menggunakan OBSPunya Komputer untuk live streaming lebih baikStudio di Jakarta. Jadi sudah pasti mencari yang domisilinya di JKTHari kerja: 2 hari. 1 hari GR dan 1 Hari HSilahkan Apply. Terima kasih,,,,,,,,,,,,,,,,,,,,
77,butuh seseorang yang ahli bidang Digital Marketing,Social Media Marketing (SMM),"Rp 250,000 - 350,000",3,"Halo saya membutuhkan seseorang yang ahli bidang digital marketing terutama yang memiliki title minimal S1 Digital Marketing atau Management Business untuk membantu promosikan layanan kami yang sedang berjalan di bidang IT & Designers, materi sudah kami sediakan tinggal promosikan ke list group tertarget. Silahkan untuk kirimkan CV anda dan project yang pernah anda kerjakan, terimakasih.",,,,,,,,,,,,,,,,,,,,
78,Membuat model LSTM menggunakan bahasa Go,Machine Learning,"Rp 700,000 - 1,000,000",14,Membuat model LSTM menggunakan bahasa Go untuk kebutuhan text generation. Untuk datasetnya sudah terlampir.,,,,,,,,,,,,,,,,,,,,
79,Pembuatan edu games untuk anak TK,3D Animation ,"Rp 3,000,000 - 5,000,000",7,"Saya ada cerita seperti dibawah ini dan mau dibuatkan dalam bentuk games menggunakan unity. Anak lakilaki bangun tidur (Chalenge : Merapikan tempat tidur : Merapikan Bantal, Guling dan Kain Sprei) (Ada opsi gambar bantal, guling, kain, boneka, sikat gigi : anak nanti disuruh pilih)Anak mau mandi, “apa yang kita pakai saat mandi?” (Ada opsi : Sikat gigi dan odol, Sabun, keran air, sendok garpu, dan tas : Anak (pemain) disuruh memilih)(Video tutorial menyikat gigi) “Teman teman,sikat giginya yang bersih ya, disikat gigi atas, bawah, depan dan belakang”Anak seolah sudah selesai mandi, anak menanyakan “Apa saja yang saya pilih untuk memakai seragam sekolah hari ini?” (Ada opsi : Baju sekolah, celana sekolah,dasi kupu-kupu, sepatu, tas, sendal,sikat gigi)(Video tutorial mengancingkan baju sekolah : Teman teman begini cara mengancingkan baju, jangan ada lobang kancing yang terlewat ya)Anak seolah sudah memakai seragam sekolah dan diantar sama ayahnya naik sepeda motor ke TK dengan memakai helmAnak sampai di sekolah TK menyalam Ibu guru dan menyapa teman-temannyaAnak bermain mainan di sekolah, kemudian Ibu guru meminta anak merapikan mainannya “Anak Ibu, ayo susun mainannya ya” | “Teman teman, mainannya kita susun di mana ya?” (Opsi : Anak memasukkan mainan ke keranjang mainan, Anak memasukkan mainan ke pelastik kresek)Anak makan Bersama teman-teman di sekolah “Teman-teman jika kita mau makan, kita perlu pakai apa ya?” (Opsi : Sendok garpu, sikat gigi, kemoceng)Anak bersiap pulang sekolah “Sekarang waktunya pulang sekolah, apa yang harus saya bawa?” (Opsi : Tas, Keranjang Belanja, Topi Pantai)Anak pulang dijemput naik sepeda motor dan memakai helm. “Daaa, sampai jumpa Kembali”",,,,,,,,,,,,,,,,,,,,
80,Binary Image Classification,Python,"Rp 750,000 - 1,500,000",5,"Dataset sekitar 1000-1500 images (PNG).Pekerja mampu melakukan klasifikasi gambar dengan :Reduksi dimensionality (PCA / TSNE / Auto Encoder)SVMCNNTransfer learning (bisa menggunakan Resnet50 atau inception)Vision Transformers (Vit). Project ini sudah pernah dikerjakan tetapi akurasi tidak baik (dibawah 55%), perlu dilakukan optimasi atau beberapa teknik augmentasi untuk meningkatkan akurasi. Diharapkan val akurasi di range 70-85 %Disertakan hasil pengujian sebelumnya untuk menjadi catatan atau pertimbangan.",,,,,,,,,,,,,,,,,,,,
81,Konsultasi Tentang Akun Cloud Public,Data Analysis,"Rp 1,500,000 - 5,000,000",30,"Halo,Saya membutuhkan bantuan dan informasi mengenai Akun public cloud account seperti AWS, Azure, Linode ataupun Oracle Cloud beserta vcc yang bisa digunakan. Saya minta teman-teman freelancer untuk dapat memberikan informasi dan nantinya juga akan membantu pembuatan akun nya. Bagaimana pendaftarannya Pembuatannya apakah butuh biaya, biasanya estimasinya berapa.Apakah bersedia untuk jangka panjang.",,,,,,,,,,,,,,,,,,,,
82,Dicari Photographer,Photography,"Rp 5,000,000 - 6,000,000",7,"Job Desc: Ambil gambar produkSyarat:Hasil foto memiliki kesan seperti di internet, yang pertama kali dapat mendeteksi tren video pendek di platform.Memiliki banyak pengalaman dalam merekam barang video pendek.Memiliki keterampilan profesional tertentu dan terbiasa menggunakan berbagai alat foto dan video.Memiliki pengalaman pemotretan dalam bidang kecantikan, perhiasan dan pakaian lebih disukai.",,,,,,,,,,,,,,,,,,,,
83,Menulis 5 artikel,Content Writer,"Rp 135,000 - 200,000",15,"Kami sedang mencari kandidat yang cocok untuk menjadi penulis tetap di blog kami. Untuk tahap screening, kami minta dibuatkan 5 artikel 600-an kata. Tema tulisan berhubungan dengan hunian/properti dan akan disediakan. Semua artikel ditulis dalam format listicle dan setiap point harus disertakan foto yang mendukung tulisan. Penulis langsung menulis di blog wordpress kami.",,,,,,,,,,,,,,,,,,,,
84,Butuh Akun Google Adsense Indonesia Non Hosted Berumur,Wordpress,"Rp 1,000,000 - 3,500,000",99,"Dicari Akun Google Adsense Indonesia Non Hosted Lama kalo bisa dashboard Dollar (2015 awal ke bawah) atau yang baru tidak apa2. Untuk yg baru diusahakan ada domain yg terhubung.Tulis Spek: Adsense untuk blog/website, Email utama, Iklan tayang 100%, Infokan sudah PO/Pin atau fresh , apakah ada domain yg terhubung",,,,,,,,,,,,,,,,,,,,
85,Pembuatan Website auto assessment,Web Programming,"Rp 1,500,000 - 3,000,000",25,"Buatkan saya website untuk auto assessment yang dimana ada soal pilihan ganda , scoring, feedback jawaban otomatis, dan bisa menjadikan pdf untuk hasil scoring dan deskripsi.",,,,,,,,,,,,,,,,,,,,
86,Sistem Penjualan Minimarket,App Innovation,"Rp 3,500,000 - 7,500,000",30,"saya mau membuat sistem penjualan minimarket, dengan metode pembayaran pakai kartu seperti emoney.jadi nanti kartu tersebut mempunyai ID pemegang kartu seperti yang ada di Foodcort di mall atau seperti di Time Zone, dan bisa dibuat saldo untuk pembelian barang di minimarket. kartu tersebut juga dapat di isi ulang saldonya. sistem tersebut berbasis web. dan Sistem tersebut dapat source code dapat diberikan.Jika memang sudah ada yang pernah membuat dengan depkripsi yang ada di atas boleh di tawarkan. dan langsung di berikan DEMO perogramnya.Terima Kasih",,,,,,,,,,,,,,,,,,,,
87,Buat Artikel Ilmiah,Content Writer,"Rp 105,000 - 150,000",1,"Buar artikel dalam setengah 1 halaman A4 berkaitan ""Resource Management (Resource Scheme) in Software Development Project Management"" dalam bahasa indonesia saja (no copas, no plagiarism), mengacu minimal 4 referensi buku atau jurnal internasional (science direct, IEEE). Selesai dalam 1 hari. Nilai terendah",,,,,,,,,,,,,,,,,,,,
88,Apps MOM meeting,Web Programming,"Rp 10,000,000 - 15,000,000",14,"Kriteria apps yang diinginkan kurang lebih : 1. Tampilan awal login adalah list devisi diperusahaan yang ada meeting dihari ini beserta MOM meetingnya. 2. Ada menu untuk tulis MOM langsung dari apps dan bisa tag serta notif peserta atau atasan yang ingin di notif. 3. MOM pada apps dapat di download berupa PDF, DOC. 4. Ada menu progress untuk tracking progress dari hal yang ada di MOM dan bisa attach langsung ke MOMnya juga. 5. Menu search untuk mencari MOM sesuai kriteria tanggal, devisi, nama peserta dan judul MOMnya, jika bisa dibuat search sesuai isi MOM akan lebih baik. 6. Ada menu untuk melihat list MOM yang diupload atau ditulis langsung menggunakan apps. 7. Level untuk setiap user yang terbagi menjadi Devisi dan Jabatan. 8. Menu setting untuk mengatur user mana yang dapat melihat MOM apa saja.",,,,,,,,,,,,,,,,,,,,
89,LIVE STREAMER TIKTOK,Social Media Marketing (SMM),"Rp 1,000,000 - 1,500,000",30,"Dicari 3 host live streamer dengan kondisi kulit baik untuk produk skincare. Diutamakan punya pengalaman & tempat untuk live/gear untuk live Mohon lampirkan portfolio history live yang pernah dijalankan, gear live yang di gunakan & nomor wa.",,,,,,,,,,,,,,,,,,,,
90,Cari Akun Canva Template Creator atau Element Creator,Graphic Design,"Rp 1,000,000 - 3,000,000",5,"Yang punya akun canva creator element atau creator template yang tidak terawat atau mau dijual, saya siap nampung",,,,,,,,,,,,,,,,,,,,
91,[Dicari] Game Developer untuk Tiktok Live Interactive Based on Gift,Game Programming ,"Rp 1,000,000 - 2,000,000",2,"Hi workers, saya membutuhkan satu game berbasis javascript/unity yang siap digunakan untuk aplikasi stream seperti Tiktok. Dimana game ini dapat react sesuai dengan gift yang diberikan oleh viewer.Game yang dibutuhkan adalah game yang kompetitif.Silahkan tawarkan game yang sudah dibuat beserta harganya.Terima kasih.",,,,,,,,,,,,,,,,,,,,
92,Live Tiktok,Social Media Marketing (SMM),"Rp 750,000 - 2,000,000",30,"di cari host wanita jika punya gear & tempat buat live lebih di utamakan tolong lampirkan portfolio, gear live yang di gunakan & nomor wa",,,,,,,,,,,,,,,,,,,,
93,Mengembalikan akun facebook yg di block fb,Social Media Marketing (SMM),"Rp 150,000 - 350,000",7,"Saya punya saudara yg fb nya tidak bisa login lagi,pemilik memang lupa password, sudah coba pakai fitur lupa password tapi belum bisa juga, status akun facebook :No hp aktifemail aktifhanya saja 1 nomor hp nya udah kedaftar di beberapa akun facebook saya juga gak tau, karna dia juga sangat awam IT jadi dia engga ngerti jelaskannya  kira kira adakah yg mampu memberi solusi dengan budget yang sesuai",,,,,,,,,,,,,,,,,,,,
94,pembuatan web survey Kinerja,Web Programming,"Rp 1,000,000 - 1,500,000",7,pembuatan web utk menilai kinerja 1. terdiri dari master data2. penilaian 3. dan laporan utk lebih lanjut bs diinfo secara private,,,,,,,,,,,,,,,,,,,,
95,"pembuatan program berbasis PHP dengan judul ""SPK pemudahan tempat pemilihan tempat kopi""",Web Programming,"Rp 2,000,000 - 3,000,000",7,"pembuatan program pembuatan program berbasis PHP dengan judul ""SPK pemudahan tempat pemilihan tempat kopi""  yang digunakan pada program yang ingin di buat adalah berbasis PHP  di butuh kan selesai sebelum pada tanggal 13 juni 2023",,,,,,,,,,,,,,,,,,,,
96,Membuat 3D model sofa dari gambar 2D,3D Modelling,"Rp 150,000 - 250,000",3,Kami memerlukan desainer yang dapat membuat 3D model menggunakan SketchUp dengan referensi dari gambar 2D sofa dibawah ini.Ukuran sofa ada di gambar. Gambar dibawah adalah satu-satunya referensi kerja.,,,,,,,,,,,,,,,,,,,,
97,Optimasi Google My Bussiness,Search Engine Optimization (SEO),"Rp 800,000 - 1,000,000",30,"Saya cari orang yang bisa optimasi Google My Bussiness di bidang jasa transportasi agar ketika di search dengan keyword tertentu bisa muncul di 3 teratas. keyword akan diinformasikan via private messageTolong pastikan sebelum bid Anda berpengalaman dalam optimasi GMB, Seo atau sejenisnya. Bukan sekedar pernah bikin atau pernah jadi admin GMB.Saya ada sekitar 5 GMB, tapi di project ini kita coba satu dulu. Jika hasilnya memuaskan bisa dilanjut open project untuk GMB yang lain.Budget yang tertera adalah untuk 1 bulan, jika membutuhkan waktu lebih dari 1 bulan nanti bisa create project lagi di bulan kedua dst..",,,,,,,,,,,,,,,,,,,,
98,HTML BOOTSTRAP,Web Programming,"Rp 300,000 - 350,000",7,Buatkan HTML BOOTSTRAP dengan menggunakan bootstrap 5 dari figma  Slicing dari figma ke HTML BOOTSTRAP  https://www.figma.com/file/0inmLgckrCb6hbJwOfoUBr/ADITYA-PATTY-T.A.%5C-team-library?type=design&node-id=0%3A1&t=QuV5TwTZLZrBi4tD-1,,,,,,,,,,,,,,,,,,,,
99,Data Base Indonesia Influencer,Social Media Marketing (SMM),"Rp 1,000,000 - 2,000,000",3,"Proyek ini bertujuan untuk membuat database komprehensif tentang influencer di berbagai platform media sosial seperti YouTube, Instagram, TikTok, dan Facebook. Database ini akan mencakup detail seperti : nama influencer, platform channel mereka, jumlah pengikut, dan informasi kontak. Deskripsi Project: project ini bertujuan untuk membangun database komprehensif tentang influencer di Indonesia. Dalam database ini, kita akan mengumpulkan, mengkategorikan, dan menganalisis data terkait dengan influencer dari berbagai platform media sosial seperti Instagram, YouTube, Twitter, dan TikTok tersebut diatas akan dianggap selesai apabila worker bisa memberikan list dari influencer beberapa platform diatas, minimal 2000 data per platform  budget : 1jt~2jt (negotiable) waktu pengerjaan : 3 hari",,,,,,,,,,,,,,,,,,,,
100,Buat 1 logo,Adobe PhotoShop,"Rp 150,000 - 200,000",7,"dibutuhkan logo design 1 .  syarat:  program adobe photoshop unmerged layer 3000 x 3000 ( 1 : 1 ) , 300 DPI semua font dan source harus diberikan Revisi bebas Tema logo text colourfull dan fun",,,,,,,,,,,,,,,,,,,,
101,Program input data dengan ajax + Ci,Web Programming,"Rp 1,500,000 - 2,000,000",7,"dibutuhkan program input data produk , dengan ajax + Ci. master data, campagine, Sales order , invoice. bisa forward sales order ke nomor Whatsapp group yg sudah di setting Mobile view responsive dekstop, template boleh di ajukan /",,,,,,,,,,,,,,,,,,,,
102,Pembuatan Aplikasi Top Up Games,Android,"Rp 3,000,000 - 7,000,000",14,"Aplikasi top up game yang dapat di upload ke playstore dan apps store,Aplikasi Top Up game dan PPOB contoh aplikasi VOCAGAME",,,,,,,,,,,,,,,,,,,,
103,Pembuatan Dokumen Perancangan Aplikasi,Web Programming,"Rp 500,000 - 1,000,000",3,Saya membutuhkan worker untuk membuat dokumen perencanaan pembuatan aplikasi atau BRDHarap worker yang sudah berpengalaman dan terbiasa membuatnya yang melakukan bidding.,,,,,,,,,,,,,,,,,,,,
104,Web design,UI/UX Design,"Rp 350,000 - 500,000",7,Saya ingin membuat desain untuk website. Saya sudah memiliki bagan diagram berikut,,,,,,,,,,,,,,,,,,,,
105,Butuh Bantuan Terkait WS Feeder PDDIKTI,Web Programming,"Rp 200,000 - 300,000",30,Saya butuh bantuan terkait WS Feeder PDDIKTIMasalahnya adalah biasanya kode programnya bisa digunakan namun sekarang menjadi tidak bisa digunakanBatas waktu projek 1 bulan,,,,,,,,,,,,,,,,,,,,
106,butuh web programmer,Web Programming,"Rp 500,000 - 1,500,000",7,"mohon di baca dengan baik dan jangan asal bid , cari yg bener"" bisa kerjakan  pingin buat web seperti hellcase. com saya butuhnya hanya  sign up  login  user profile + saldo , box di beberapa category misal category pisau isinya bisa rollet pisau , animasinya rollet nya harus sama persis , begitu terpilih hadiahnya otomatis masuk ke inventory user atau bisa lgsg di jadikan saldo .. silahkan liat contohnya di hellcase.com",,,,,,,,,,,,,,,,,,,,
107,Modifikasi Pembuatan GUI simulator perhitungan,Python,"Rp 250,000 - 500,000",4,"GUI sudah ada namun butuh modifikasi. GUI yang dibuat untuk menghitung faktor gesekan menggunakan rumus darcy weisbach. gui disambungkan dengan 2 sensor tekanan untuk mendapatkan nilai pressure drop, lalu nilai selisih pressure dimasukkan pada rumus yang sudah ada pada gui menggunakan bahasa python dan pyqt5 designer",,,,,,,,,,,,,,,,,,,,
108,Aplikasi Android Wifi RTT,Android,"Rp 500,000 - 1,000,000",7,Aplikasi akan digunakan untuk pengambilan data penelitian berupa distance(jarak hp ke wifi) dan nilai rssi. Aplikasi mampu menampilkan wifi disekitar beserta keterangan apakah wifi tersebut support RTT atau tidak. Penelitian nanti akan menggunakan 6 wifi dan harapannya aplikasi bisa menangkap nilai distance dan rssi dari ke 6 wifi secara bersamaan. Setelahnya data yang sudah direcord dapat di export menjadi csv. Berikut contoh nya : https://github.com/Plinzen/android-rttmanager-sample (hanya menampilkan 1 data wifi),,,,,,,,,,,,,,,,,,,,
109,Database Bahasa Daerah,Database,"Rp 200,000 - 350,000",7,"Saya butuh database bahasa daerah di Indonesia, bukan list ya tp kosa katanya untuk saya buat menjadi API, at least ada 10 bahasa daerah",,,,,,,,,,,,,,,,,,,,
110,Perbaikan Bugs,Web Programming,"Rp 500,000 - 550,000",7,"Perbaikan APLIKASI PHP 7 & Laravel 8  , 1.Menambahkan Table Kartu Hutang,Piutang (Pembelian/Penjualan & Pelunansan).  2. Bugs Transaksi SO Back Office & SO user id sales, Cetakan & laporan nya 3. Bugs Limit Penjualan dan Protect Harga Jual lebih rendah dari harga beli (Password) 4. Bugs Master barang (Edit)  5. Laporan Sttock tambahkan Harga Beli 6. Bugs Transaksi Giro Tolakan & Pencairan Giro 7. Menambahkan Tombol Pencarian data Barang di setiap transaksi ",,,,,,,,,,,,,,,,,,,,
111,Aplikasi mobile klasifikasi mendeteksi jenis buah metode learning vector quantization,Android,"Rp 1,500,000 - 3,000,000",7,Saya ingin membuat aplikasi mobile dengan react native untuk mendeteksi jenis buah dengan kamera hp,,,,,,,,,,,,,,,,,,,,
112,Pembuatan logo brand digital agency,Adobe Illustrator,"Rp 150,000 - 200,000",5,Dibutuhkan sebuah logo brand untuk digital agency. Responsibilities: Membuat sebuah logoPengaplikasian logo pada media cetak Qualification: Komunikasi yang baikMelampirkan contoh logo dan pengaplikasiannya yang pernah dibuatBrief selengkapnya akan diberikan kepada freelancer terpilih. Terima kasih.,,,,,,,,,,,,,,,,,,,,
113,Bridging bpjs (Vclaim),Web Programming,"Rp 5,000,000 - 8,000,000",7,"Dibutuhkan untuk integrasi SIMRS dengan bpjs vclaim, diutamakan yang sudah pernah membuat sebelumnya dan sudah melewati proses UAT.",,,,,,,,,,,,,,,,,,,,
114,Butuh bantuan terkait psikogram,Data Analysis,"Rp 1,000,000 - 2,000,000",30,"Saya butuh bantuan terkait pembuatan psikogramMulai dari pemilihan soal soal, pemrosesan jawaban, sampai dengan ke penyusunan psikogramWaktu projek 1 bulan",,,,,,,,,,,,,,,,,,,,
115,"Designer Pro Buat Bikin Feed, Post Sosmed Untuk Top Up Game Store",Adobe PhotoShop,"Rp 50,000 - 100,000",1,"Butuh designer profesional yg menguasai Photoshop / CorelDRAW untuk membuat post feed di sosmed keperluan promo tiap hari... Spesifikasi post feed dg detail berikut, Kata-kata : Top Up Game Murah, Proses Instant 1 Detik, Yuk topup nya hanya di www. website .com, Dapatkan harga lebih murah lagi dg bergabung menjadi resellerBudget : 50-100rb / postDeadline : 1 hari Note : Tidak perlu mengirim ijazah, CV, portofolio, dll yang saya butuhkan hanya SKILL berupa hasil editan ",,,,,,,,,,,,,,,,,,,,
